itemID_numeric,original_itemID
1,9654
2,33043
3,32118
4,12352
5,35077
6,36118
7,81766
8,129055
9,31331
10,32627
11,100747
12,35606
13,32971
14,36246
15,32754
16,10657
17,3147
18,196110
19,5140
20,35472
21,73191
22,382683
23,40639
24,59248
25,73816
26,32742
27,9416
28,79626
29,388131
30,5103
31,69597
32,4168
33,79898
34,14784
35,3680
36,34797
37,13931
38,36156
39,19726
40,58223
41,135099
42,29592
43,151445
44,35142
45,51913
46,51353
47,254864
48,240186
49,353726
50,23840
51,38873
52,44491
53,14914
54,31579
55,11732
56,123272
57,105612
58,126437
59,9029
60,3633
61,108888
62,117403
63,400741
64,375733
65,126498
66,69210
67,128913
68,381355
69,208971
70,169562
71,46610
72,171222
73,126308
74,24619
75,13061
76,12787
77,1013
78,121104
79,25583
80,164504
81,2042
82,79130
83,35311
84,3719
85,11338
86,387
87,28249
88,6267
89,32142
90,5450
91,63532
92,35418
93,35378
94,66165
95,59968
96,117825
97,172323
98,86471
99,75155
100,4145
101,4735
102,84043
103,130777
104,201689
105,8549
106,28580
107,62898
108,80334
109,82984
110,42
111,55594
112,6308
113,14280
114,4185
115,36956
116,3433
117,90812
118,6306
119,66956
120,24764
121,6096
122,375980
123,378922
124,376089
125,378729
126,381701
127,377512
128,376526
129,20138
130,381813
131,30893
132,4016
133,5691
134,2391
135,1407
136,22128
137,380340
138,14763
139,378944
140,2809
141,69390
142,49360
143,216104
144,66765
145,66764
146,10589
147,24578
148,32005
149,15507
150,38707
151,90377
152,8379
153,68301
154,14614
155,280626
156,251609
157,368353
158,380235
159,35818
160,7747
161,4151
162,34142
163,55269
164,1296
165,3563
166,16116
167,145697
168,63076
169,38073
170,154670
171,22099
172,170561
173,14912
174,40921
175,32902
176,148626
177,90683
178,2745
179,35640
180,9582
181,30058
182,8732
183,131319
184,30294
185,130835
186,45355
187,135792
188,11297
189,125919
190,88452
191,8735
192,125920
193,43824
194,45236
195,16074
196,18566
197,294153
198,74731
199,8734
200,10858
201,54281
202,23094
203,383298
204,44612
205,2442
206,90702
207,31500
208,21864
209,11524
210,36700
211,82691
212,36621
213,39471
214,34093
215,14600
216,14234
217,11419
218,132879
219,19942
220,126406
221,106324
222,132807
223,87471
224,44394
225,127098
226,11119
227,92881
228,80098
229,169690
230,4787
231,37725
232,30398
233,8250
234,9093
235,98851
236,48094
237,25460
238,19342
239,126122
240,31055
241,35495
242,17050
243,124947
244,128859
245,23288
246,66682
247,32342
248,84517
249,25781
250,10691
251,33404
252,2818
253,58140
254,157362
255,14170
256,164206
257,58998
258,70219
259,90603
260,4479
261,171648
262,6291
263,10458
264,170416
265,9934
266,127397
267,45002
268,144613
269,46437
270,1180
271,36708
272,51535
273,25886
274,20698
275,171307
276,159361
277,7884
278,6185
279,135896
280,164412
281,1671
282,134
283,163155
284,164713
285,14116
286,171294
287,126446
288,167987
289,107210
290,109704
291,43654
292,14310
293,52123
294,106176
295,62040
296,36055
297,29091
298,107546
299,78103
300,166617
301,130105
302,168282
303,171611
304,14312
305,71338
306,153734
307,34952
308,682
309,86161
310,10299
311,11989
312,75104
313,33914
314,30455
315,33256
316,30378
317,12233
318,36717
319,48286
320,6365
321,144629
322,81021
323,8993
324,136201
325,47412
326,35099
327,130768
328,57590
329,67779
330,47114
331,68899
332,90105
333,7447
334,18860
335,24522
336,34053
337,46293
338,46225
339,46509
340,57076
341,407250
342,46644
343,7446
344,131216
345,136612
346,50344
347,66114
348,5560
349,83537
350,7068
351,130874
352,62079
353,82292
354,62762
355,52895
356,8917
357,62123
358,58277
359,4869
360,56006
361,12030
362,90675
363,175818
364,11855
365,32138
366,83484
367,63620
368,79141
369,79178
370,12841
371,3676
372,46805
373,6964
374,68520
375,89925
376,66675
377,4124
378,79218
379,30859
380,9306
381,18498
382,48772
383,83655
384,4454
385,7033
386,11719
387,6436
388,13905
389,30312
390,111071
391,24883
392,131133
393,26432
394,62763
395,80661
396,192
397,4886
398,126237
399,68423
400,19741
401,113231
402,132732
403,49340
404,73711
405,125927
406,58749
407,25760
408,141347
409,196036
410,300641
411,372654
412,246216
413,195553
414,265582
415,139528
416,405016
417,178447
418,161099
419,33034
420,75267
421,2681
422,10250
423,35914
424,36126
425,85135
426,176654
427,125599
428,2980
429,27047
430,3325
431,34910
432,34605
433,125621
434,7974
435,36556
436,36515
437,5372
438,130823
439,205010
440,203487
441,173671
442,57874
443,167930
444,41905
445,12726
446,47736
447,2360
448,9737
449,2673
450,32082
451,2087
452,30340
453,30366
454,302664
455,48570
456,9989
457,86227
458,188217
459,85849
460,10856
461,155745
462,36878
463,7005
464,36885
465,47586
466,25911
467,79520
468,161528
469,175874
470,13607
471,6478
472,24067
473,24753
474,801
475,30761
476,21638
477,7779
478,42163
479,68351
480,3299
481,421
482,11664
483,170363
484,34038
485,114824
486,7104
487,69273
488,10713
489,49920
490,8328
491,9550
492,62496
493,83972
494,40834
495,79956
496,46871
497,126695
498,126615
499,90622
500,89710
501,41580
502,60795
503,30696
504,6074
505,90454
506,56514
507,56241
508,33836
509,36602
510,10263
511,47373
512,35885
513,30947
514,7095
515,7726
516,8404
517,4926
518,33890
519,4603
520,68815
521,6302
522,379043
523,385702
524,207876
525,25215
526,379860
527,35473
528,7088
529,211850
530,90621
531,7010
532,13064
533,2458
534,126422
535,16826
536,57201
537,162305
538,93152
539,227042
540,236201
541,182014
542,7398
543,14758
544,51250
545,134789
546,161080
547,67926
548,435263
549,30792
550,6913
551,10674
552,24194
553,489123
554,33655
555,234568
556,85571
557,16486
558,61761
559,156673
560,127197
561,23884
562,297991
563,50887
564,40123
565,125587
566,218374
567,138324
568,11770
569,20166
570,36271
571,25833
572,375650
573,379018
574,10296
575,38035
576,28201
577,10237
578,47310
579,7100
580,6848
581,36031
582,13748
583,14124
584,14441
585,47167
586,6510
587,9581
588,10988
589,13661
590,41935
591,29769
592,84577
593,98333
594,170172
595,42933
596,33240
597,87476
598,83401
599,113372
600,72130
601,76811
602,66031
603,194264
604,12319
605,8158
606,11177
607,13954
608,47135
609,40985
610,47017
611,35981
612,5582
613,13043
614,36272
615,69350
616,36738
617,68590
618,5825
619,23761
620,4076
621,52423
622,51760
623,33530
624,22861
625,74933
626,13189
627,64599
628,7545
629,11017
630,12145
631,7544
632,34592
633,88887
634,13749
635,8756
636,42605
637,1329
638,95117
639,17450
640,28367
641,57717
642,35715
643,13281
644,431155
645,47363
646,34192
647,128613
648,11385
649,10193
650,135915
651,2176
652,13574
653,16952
654,36181
655,18635
656,14222
657,89791
658,36584
659,1299
660,175662
661,168017
662,78211
663,15642
664,117877
665,36685
666,13326
667,13558
668,13595
669,11881
670,50551
671,84873
672,41781
673,22470
674,5986
675,20748
676,170414
677,645
678,31033
679,159774
680,33919
681,26149
682,120347
683,62441
684,707
685,20054
686,79526
687,47296
688,6078
689,25274
690,522549
691,39403
692,379049
693,3171
694,290874
695,22587
696,30700
697,63798
698,4433
699,88444
700,129757
701,174366
702,252535
703,37583
704,134412
705,647
706,30166
707,139656
708,421763
709,85558
710,6615
711,375107
712,376543
713,16920
714,22715
715,22271
716,38600
717,1159
718,206301
719,164363
720,86550
721,3629
722,388065
723,128905
724,162638
725,34103
726,104310
727,379486
728,58377
729,32817
730,35641
731,13099
732,30618
733,36662
734,12229
735,14473
736,14001
737,90248
738,47708
739,79064
740,46632
741,66470
742,88357
743,13983
744,36146
745,5392
746,122964
747,14934
748,125013
749,180000
750,438457
751,198930
752,169589
753,354859
754,40986
755,9338
756,32661
757,247658
758,421369
759,130841
760,10271
761,36202
762,4081
763,29254
764,36703
765,40156
766,2920
767,2922
768,9154
769,36035
770,14382
771,171278
772,20521
773,1511
774,91196
775,201077
776,71472
777,2273
778,2865
779,31079
780,13960
781,36142
782,13760
783,67789
784,30839
785,11586
786,260220
787,27359
788,172299
789,29260
790,49502
791,110695
792,2166
793,10073
794,17437
795,134713
796,248779
797,400043
798,383829
799,30544
800,6666
801,427176
802,13663
803,69167
804,57162
805,31930
806,12670
807,124550
808,155233
809,72413
810,30327
811,2124
812,8789
813,4583
814,2743
815,19679
816,90107
817,5650
818,64648
819,57835
820,13520
821,72562
822,48167
823,36694
824,11559
825,3717
826,1356
827,60
828,5413
829,35380
830,58524
831,7241
832,14889
833,35980
834,37333
835,5045
836,36411
837,5828
838,4991
839,86512
840,86513
841,164039
842,45669
843,9308
844,30165
845,90259
846,12954
847,12646
848,378740
849,402902
850,53224
851,380998
852,12720
853,3314
854,200073
855,68398
856,181073
857,71942
858,16852
859,61771
860,75611
861,28376
862,5058
863,34081
864,14444
865,36809
866,34994
867,36642
868,3138
869,51257
870,336354
871,3642
872,882
873,14133
874,76154
875,13991
876,126892
877,85799
878,126991
879,30785
880,30516
881,236824
882,180372
883,214792
884,169756
885,458121
886,134297
887,81645
888,12135
889,9971
890,5451
891,3855
892,25442
893,66806
894,70860
895,35324
896,6080
897,131616
898,158576
899,3253
900,192255
901,127250
902,34755
903,117127
904,229318
905,365117
906,453456
907,201785
908,131182
909,33064
910,49788
911,57688
912,171470
913,20461
914,23155
915,178151
916,60484
917,9354
918,32418
919,79946
920,350419
921,378062
922,385589
923,375081
924,10035
925,377573
926,27986
927,263854
928,393327
929,412553
930,311415
931,196228
932,195877
933,12217
934,8644
935,40631
936,25849
937,9476
938,62915
939,3200
940,3115
941,31638
942,36359
943,6694
944,606
945,54017
