priceLevel,count,min_price,max_price,mean_price,std_price
1,58898,1,512,3.7676321776630783,21.064013072583325
2,10564,16,1024,118.33244982961,107.03112044516257
3,16483,32,1024,140.8675605168962,142.5870479640219
4,13330,32,2048,205.6378094523631,219.82503961427227
5,13326,32,2048,191.78147981389765,177.9905319633863
6,13869,32,2048,236.70632345518783,203.69937908324056
7,15739,32,4096,341.49666433699724,361.72333950238703
8,14595,64,2048,331.82213086673517,274.96683072687455
9,8113,32,4096,382.5997781338592,448.8433125445096
10,10271,64,16384,725.1048583390127,758.4596899456171
11,7586,32,32768,616.2636435539151,980.5854858960636
