categoryID,category
1,Sprinkles
2,Icing Decorations
3,Ground Coffee
4,Tea Samplers
5,Pork Rinds
6,Stevia
7,Food Coloring
8,Coconut
9,Peanuts
10,Candy & Chocolate Bars
11,Chili
12,Single-Serve Capsules & Pods
13,Beans
14,Peanut Butter
15,Flax Seed
16,Honey
17,Beverages
18,Roasted Coffee Beans
19,Glitter
20,Hard Candy
21,Pasta & Noodle Dishes
22,Sour Candy
23,Nut Bars
24,Cereal
25,Extracts & Flavoring
26,Thickeners
27,Olive
28,Cupcake Toppers
29,Bitters
30,Jelly Beans
31,Quinoa
32,Carob
33,Flax Seeds
34,Simple Syrup
35,Gummy Candy
36,Wafers
37,Tea
38,Green
39,Jerky & Dried Meats
40,Cashews
41,Candy Canes
42,Cake Toppers
43,Cold-Brew Coffee & Concentrate
44,Sea Salt
45,Herbal
46,Energy & Nutritional
47,Matcha
48,Biscuits
49,"Jams, Jellies & Preserves"
50,"Herbs, Spices & Seasonings"
51,Walnuts
52,Corn
53,Meal Replacement Drinks
54,Chili Powder
55,Barbecue Seasoning
56,Coconut Water
57,Potato
58,Snack Gifts
59,Breads
60,Almonds
61,Black
62,Poppy Seed
63,Taffy
64,Chewing & Bubble Gum
65,Brittle
66,Candy & Chocolate Assortments
67,Potatoes & Yams
68,Soy
69,Flavor Syrups
70,Chocolate
71,Marshmallows
72,Candy & Chocolate
73,Garlic
74,Asian
75,Chocolate Truffles
76,Candied & Chocolate-coated Nuts
77,Fruit Snacks
78,Suckers & Lollipops
79,Flours & Meals
80,Lasagna
81,Graham Crackers
82,Dried Banana Chips
83,Cold Cereals
84,Refried Beans
85,Mexican Dishes
86,Frostings & Icings
87,Candied & Chocolate-covered Snacks
88,Mexican Seasoning
89,Meat Seasoning
90,Protein Drinks
91,Xylitol
92,Almond Butter
93,Oatmeal
94,Lentils
95,Barbecue
96,Caramel
97,Dry Soup Mixes
98,Snack Foods
99,Curry Sauce
100,Ginger Candy
101,Chicken
102,Assortments & Samplers
103,Sandwich
104,Granola
105,Chia Seeds
106,Pancakes & Waffles
107,Crackers
108,Cakes
109,Hot Sauce
110,Popped
111,Energy Drinks
112,Gelatin
113,Seaweed Snacks
114,Soy Sauce
115,Soft Drinks
116,Dried Fruits
117,Dried Berries
118,Sugars
119,Pepper & Peppercorns
120,Seasoning Mixes
121,Brazil Nuts
122,Mixed Nuts
123,Licorice
124,Stir-Fry Sauce
125,Mayonnaise
126,Nuts & Seeds
127,Dried Fruit & Raisins
128,Hot Dogs & Franks
129,Sausages
130,Apple Cider
131,Bubble Tea Tapioca Pearls
132,Steak Sauce
133,French
134,Chocolate Chip
135,Popcorn
136,Fresh Baked Cookies
137,Bonsai
138,Instant Coffee
139,Flavoring Syrup
140,Unpopped
141,"Coffee, Tea & Cocoa"
142,Cookies
143,Decorating Kits
144,Sparkling Juice
145,Maple Syrup
146,Chocolates
147,Black Beans
148,Kidney Beans
149,Packaged Breads
150,Pumpkin Seeds
151,Cocoa
152,Sugar Substitutes
153,Soft Drink Mixes
154,Chicken Soups
155,Flavored Water
156,Fusilli
157,Buffalo Wing
158,Garam Masala
159,Enchiladas
160,Dried Vegetables
161,Chili Mix
162,Oolong
163,Brown
164,Cooking & Baking
165,Rice
166,Chili Peppers
167,Artichoke Hearts
168,Turmeric
169,Candied & Chocolate-coated Fruit
170,Active Dry Yeasts
171,Dried Figs
172,Dried Pears
173,Sea Vegetables
174,Dijon Mustard
175,Coffee Creamers
176,Shirataki
177,Non-Dairy Coffee Creamers
178,Popsicles & Juice Bars
179,Flavored Salt
180,Muffins
181,Candy & Chocolate Gifts
182,Fruit Juice
183,High Protein
184,Macaroni & Cheese
185,Jelly Beans & Gummy Candy
186,"Herb, Spice & Seasoning Gifts"
187,Beer Mustard
188,Coffee Substitutes
189,Spaghetti
190,Fortune
191,Basmati
192,Salad Dressings
193,Vinegars
194,"Syrups, Sugars & Sweeteners"
195,Pecans
196,Dried Dates
197,Powdered
198,House Plants
199,Seasoned Salt
200,Baked Beans
201,Fudge
202,Seafood Seasoning
203,Rock Salt
204,Salt Substitutes
205,Fruit & Nut
206,Bars
207,Pretzels
208,Bakery & Dessert Gifts
209,Fennel Seed
210,Iced Tea
