priceLevel,count,min_price,max_price,mean_price,std_price
1,20638,0.01,54.02,7.448664114739801,3.5494134893134186
2,28982,3.9,89.99,12.564884411013733,5.075999249211802
3,19799,5.91,104.0,17.674393656245265,6.621156478076532
4,13728,7.29,155.95,22.40430361305361,8.574513415889212
5,10127,8.72,187.58,26.80257233139133,10.218675253064312
6,7902,9.61,225.0,31.001443938243483,11.648301766214168
7,6500,10.95,268.08,36.16757076923077,13.75259868317473
8,6054,11.16,315.0,41.51911628675256,17.719885077844147
9,5897,15.45,368.15,48.59697812447007,20.21059384464708
10,8832,14.9,951.5,75.52445425724638,47.0106900702603
11,761,18.5,999.99,169.4531143232589,206.17209850765786
