itemID,asin
1,B0001XXB3E
2,B005H40QQC
3,B00M31BORM
4,B00NB9RQ5O
5,B00K9UIVGG
6,B00RR0H75M
7,B000E8WIAS
8,B003WO0I6C
9,B0108N0K3A
10,B0000CFMU7
11,B000H2XXRS
12,B000E1FZHS
13,B000U0OUP6
14,B000NGPV4Q
15,B007EX0XHQ
16,B000KY6IIY
17,B007C54566
18,B017WOLVQ8
19,B01BKM8JOA
20,B00U9VYJAW
21,B00WSZ4EFC
22,B001467JYO
23,B00KDCCYFY
24,B01FYXCQ1S
25,B000WSK5N2
26,B004CGJ5SQ
27,B0074QL0K2
28,B001EO5Y8Y
29,B01E5XTW24
30,B00D5GGNRA
31,B00QLFZDPK
32,B00TKWAH0C
33,B00I84I8TU
34,B01AS9B9MA
35,B000VSDCH4
36,B01GGIT4JW
37,B0056AZ25M
38,B00BUKL666
39,B00E1P4L1Y
40,B00TBUHRRO
41,B00DUF219A
42,B01BTNDHUQ
43,B0012XKO00
44,B007RHCMXC
45,B00IC3Y4H2
46,B000W8R77Y
47,B000EJLWZ4
48,B000FNM5PU
49,B000HTJPRI
50,B00EKLU0GO
51,B001P22S8O
52,B00F1G84ME
53,B00JPJRQ7W
54,B00P6TUO5G
55,B00QFR9X8W
56,B001PI6KVO
57,B005PM5Z5I
58,B00155X14G
59,B000JZEABG
60,B00126P0HE
61,B00CPBS2E8
62,B016BXNFKG
63,B000CQE3HS
64,B004M15U12
65,B00ADX5WZ2
66,B005OL1Q8K
67,B006WCE4UM
68,B00BF91LU8
69,B00G1S82SM
70,B000IDC8S6
71,B001M4GVNI
72,B000SWTKV0
73,B00FO2BZVW
74,B0012JNRKS
75,B00CELQKUM
76,B007P4VGUC
77,B00CC3E6A8
78,B005DZH80W
79,B007JVI7QW
80,B00BHFED2I
81,B00CLD76K6
82,B001D0GV7C
83,B001D0KG1Y
84,B00F5NUDP4
85,B00F5NU7J6
86,B0013HPWJI
87,B00H9ZV65W
88,B00C584ALK
89,B00H473B1W
90,B000EQT77M
91,B00SHCB5EI
92,B016SLSYBQ
93,B00HDQEMEO
94,B004YVOFB6
95,B00K23LAHW
96,B00C696CKK
97,B000HNF8ZW
98,B004Z4PKP2
99,B002HQCWYM
100,B00N0JIAYQ
101,B000SEMLWS
102,B01CUDLO5Y
103,B00CGBKIIK
104,B0015Q7M7W
105,B0015D6G6S
106,B00LAQ4Z1I
107,B01CD83O5E
108,B0015P54R8
109,B00C3FWXIC
110,B0010UOGWM
111,B000WL39JQ
112,B00QFMMMF8
113,B00CS4J6B0
114,B01A958KRU
115,B00BBMUIBW
116,B00A96PMJO
