numeric_itemID,original_itemID
1,B000SAUVC4
2,B00271OPVU
3,B00HHGO4KC
4,B0096S6OX4
5,B0001XXB3E
6,B005H40QQC
7,B001792ULU
8,B004TT6LA6
9,B00IWS5304
10,B005HI55CS
11,B00ML5ZQYM
12,B00M31BORM
13,B00NB9RQ5O
14,B00P8WRN50
15,B01CPYDAWS
16,B0184SG724
17,B0143NF6TE
18,B01CNVOF72
19,B00D3U66SY
20,B00K9UIVGG
21,B00RR0H75M
22,B00507A02Q
23,B010OITYIQ
24,B000E8WIAS
25,B003WO0I6C
26,B0108N0K3A
27,B002UGMH9Y
28,B0013OX8II
29,B000HDI5O8
30,B00C9HSAUO
31,B005JWMMUK
32,B00S0433UW
33,B00744ALIQ
34,B002TM8BSK
35,B003L74U0A
36,B00AD4CQ4G
37,B00BQ4RZ02
38,B0000CFMU7
39,B000H2XXRS
40,B000E1FZHS
41,B000U0OUP6
42,B000NGPV4Q
43,B007EX0XHQ
44,B001LFABO8
45,B007PTYAZA
46,B000RL2W0I
47,B000CL4MFQ
48,B007B9EMHK
49,B00KDEZ85U
50,B00F45QOJC
51,B000KY6IIY
52,B007C54566
53,B000OQ4A3S
54,B000UH8NIE
55,B017WOLVQ8
56,B01BKM8JOA
57,B01HBWIBKU
58,B000OZV1I6
59,B00OEXP0UE
60,B000CQE3HS
61,B01HCUO7CW
62,B01CQ0CFTK
63,B01EIA2YXI
64,B0050MMKBA
65,B0017O19Q2
66,B001MK8FHC
67,B01F2DIFVA
68,B006348HAW
69,B001U2PP70
70,B001E5E38K
71,B00U9VYJAW
72,B00WSZ4EFC
73,B001467JYO
74,B00KDCCYFY
75,B01FYXCQ1S
76,B000WSK5N2
77,B000HDK0DC
78,B009ERYXGC
79,B002GWFAXW
80,B000ZM6BME
81,B004P8FYOU
82,B005S4KIPU
83,B0093KCLQY
84,B005HI3TK8
85,B000OMJWXU
86,B000YN2GVY
87,B00BDVX4B2
88,B001EQ52CU
89,B006WH61MQ
90,B004CGJ5SQ
91,B0074QL0K2
92,B0009F3PM6
93,B0010BQB6A
94,B00FW9Y1CW
95,B00H3QRW6E
96,B00A79R84U
97,B00R0O9U7S
98,B001EO5Y8Y
99,B01E5XTW24
100,B00D5GGNRA
101,B00QLFZDPK
102,B00TKWAH0C
103,B00I84I8TU
104,B01AS9B9MA
105,B0007QMT7O
106,B006JTPXBW
107,B000VSDCH4
108,B01GGIT4JW
109,B0056AZ25M
110,B01FG35Z1Y
111,B0028C44Z0
112,B00VZ5XOAC
113,B00BUKL666
114,B00E1P4L1Y
115,B00TBUHRRO
116,B000LKUYA0
117,B00DUF219A
118,B01BTNDHUQ
119,B00EJMASDO
120,B0064Y4ZKM
121,B00015UC4S
122,B01E9ICNRQ
123,B00VO3NP3Q
124,B000CFJDWY
125,B00P06PTE6
126,B0012XKO00
127,B007RHCMXC
128,B00IC3Y4H2
129,B000W8R77Y
130,B00M1X58LU
131,B003L1AP14
132,B0029XEY26
133,B012JRXVJS
134,B005WKH8DA
135,B00H9J1VH6
136,B004Z4PKP2
137,B00520I9JM
138,B000EJLWZ4
139,B000FNM5PU
140,B000HTJPRI
141,B00EKLU0GO
142,B00018ZVSC
143,B00J5HD588
144,B001P22S8O
145,B00F1G84ME
146,B00JPJRQ7W
147,B00P6TUO5G
148,B00QFR9X8W
149,B00EFE7R8K
150,B00KCCKV8W
151,B00KWR6G4A
152,B001PI6KVO
153,B005PM5Z5I
154,B001HTJHIE
155,B000MOQHCE
156,B013P1434E
157,B00155X14G
158,B000JZEABG
159,B00126P0HE
160,B00CPBS2E8
161,B016BXNFKG
162,B00R65SD4C
163,B01E4C982U
164,B004M15U12
165,B00ADX5WZ2
166,B01DL3JWW4
167,B00KWIQ2JI
168,B00DJ5P4AO
169,B00G1XOUJM
170,B006ZO1ZR2
171,B00T77QE70
172,B005OL1Q8K
173,B006WCE4UM
174,B01BWMFWFM
175,B01E07UKVM
176,B00BF91LU8
177,B00G1S82SM
178,B00N0JIAYQ
179,B000IDC8S6
180,B001M4GVNI
181,B00WZMH8BA
182,B00DPEGTVW
183,B00H889MGK
184,B003SO4JBG
185,B000SWTKV0
186,B00FO2BZVW
187,B001A5RS54
188,B001D0GV7C
189,B001D0KG1Y
190,B004LH4L0I
191,B0012JNRKS
192,B00750E0X6
193,B00PT66JYQ
194,B0074A3WXG
195,B00KRFLH5U
196,B00LWQ0I80
197,B01EQMJGDE
198,B00CELQKUM
199,B007P4VGUC
200,B00CC3E6A8
201,B00EHXX3WI
202,B005DZH80W
203,B007JVI7QW
204,B002YLGA0W
205,B005PFQCM0
206,B00N0JHZ5G
207,B00SUE0FDA
208,B00XA8XWGS
209,B000F4DKAI
210,B001E5E34E
211,B00ADPCCC6
212,B003WT31IY
213,B0002QEDC8
214,B0014EOU4S
215,B0039QXWPM
216,B015SEU4R6
217,B001N2GRX8
218,B001QCUKII
219,B0028PDFQG
220,B004W43H3W
221,B00KZ3WD6G
222,B00C2VNYN0
223,B006CQ1ZHI
224,B010ULFOWC
225,B002B3368M
226,B005BHYM7O
227,B00BHFED2I
228,B00CLD76K6
229,B00B99OHZK
230,B01HE0M5VU
231,B00D0BCSZQ
232,B004UIWBL4
233,B00I3303L2
234,B001EQ57JS
235,B00E807SFS
236,B00F5NUDP4
237,B00F5NU7J6
238,B0013HPWJI
239,B00H9ZV65W
240,B0038ZS6PU
241,B00CSSU016
242,B000HRS7OM
243,B00EDRYQF6
244,B007OSSVZ2
245,B00C584ALK
