numeric_itemID,original_itemID,numeric_categoryID,original_categoryID,price_levelID,original_price
0,9654,N/A,N/A,N/A,N/A
1,33043,N/A,N/A,N/A,N/A
2,32118,N/A,N/A,N/A,N/A
3,12352,N/A,N/A,N/A,N/A
4,35077,N/A,N/A,N/A,N/A
5,36118,N/A,N/A,N/A,N/A
6,81766,N/A,N/A,N/A,N/A
7,31331,N/A,N/A,N/A,N/A
8,32627,N/A,N/A,N/A,N/A
9,100747,N/A,N/A,N/A,N/A
10,35606,N/A,N/A,N/A,N/A
11,32971,N/A,N/A,N/A,N/A
12,36246,N/A,N/A,N/A,N/A
13,32754,N/A,N/A,N/A,N/A
14,10657,N/A,N/A,N/A,N/A
15,3147,N/A,N/A,N/A,N/A
16,196110,N/A,N/A,N/A,N/A
17,5140,N/A,N/A,N/A,N/A
18,35472,N/A,N/A,N/A,N/A
19,40639,N/A,N/A,N/A,N/A
20,59248,N/A,N/A,N/A,N/A
21,73816,N/A,N/A,N/A,N/A
22,32742,N/A,N/A,N/A,N/A
23,9416,N/A,N/A,N/A,N/A
24,79626,N/A,N/A,N/A,N/A
25,5103,N/A,N/A,N/A,N/A
26,69597,N/A,N/A,N/A,N/A
27,4168,N/A,N/A,N/A,N/A
28,79898,N/A,N/A,N/A,N/A
29,14784,N/A,N/A,N/A,N/A
30,3680,N/A,N/A,N/A,N/A
31,34797,N/A,N/A,N/A,N/A
32,13931,N/A,N/A,N/A,N/A
33,36156,N/A,N/A,N/A,N/A
34,19726,N/A,N/A,N/A,N/A
35,58223,N/A,N/A,N/A,N/A
36,135099,N/A,N/A,N/A,N/A
37,29592,N/A,N/A,N/A,N/A
38,151445,N/A,N/A,N/A,N/A
39,35142,N/A,N/A,N/A,N/A
40,51353,N/A,N/A,N/A,N/A
41,23840,N/A,N/A,N/A,N/A
42,38873,N/A,N/A,N/A,N/A
43,44491,N/A,N/A,N/A,N/A
44,14914,N/A,N/A,N/A,N/A
45,31579,N/A,N/A,N/A,N/A
46,11732,N/A,N/A,N/A,N/A
47,123272,N/A,N/A,N/A,N/A
48,105612,N/A,N/A,N/A,N/A
49,126437,N/A,N/A,N/A,N/A
50,9029,N/A,N/A,N/A,N/A
51,3633,N/A,N/A,N/A,N/A
52,108888,N/A,N/A,N/A,N/A
53,117403,N/A,N/A,N/A,N/A
54,6542,N/A,N/A,N/A,N/A
55,375733,N/A,N/A,N/A,N/A
56,46610,N/A,N/A,N/A,N/A
57,126308,N/A,N/A,N/A,N/A
58,24619,N/A,N/A,N/A,N/A
59,13061,N/A,N/A,N/A,N/A
60,12787,N/A,N/A,N/A,N/A
61,1013,N/A,N/A,N/A,N/A
62,121104,N/A,N/A,N/A,N/A
63,25583,N/A,N/A,N/A,N/A
64,164504,N/A,N/A,N/A,N/A
65,2042,N/A,N/A,N/A,N/A
66,79130,N/A,N/A,N/A,N/A
67,35311,N/A,N/A,N/A,N/A
68,3719,N/A,N/A,N/A,N/A
69,11338,N/A,N/A,N/A,N/A
70,387,N/A,N/A,N/A,N/A
71,28249,N/A,N/A,N/A,N/A
72,6267,N/A,N/A,N/A,N/A
73,32142,N/A,N/A,N/A,N/A
74,5450,N/A,N/A,N/A,N/A
75,63532,N/A,N/A,N/A,N/A
76,35418,N/A,N/A,N/A,N/A
77,35378,N/A,N/A,N/A,N/A
78,66165,N/A,N/A,N/A,N/A
79,59968,N/A,N/A,N/A,N/A
80,117825,N/A,N/A,N/A,N/A
81,172323,N/A,N/A,N/A,N/A
82,86471,N/A,N/A,N/A,N/A
83,75155,N/A,N/A,N/A,N/A
84,4145,N/A,N/A,N/A,N/A
85,4735,N/A,N/A,N/A,N/A
86,84043,N/A,N/A,N/A,N/A
87,130777,N/A,N/A,N/A,N/A
88,201689,N/A,N/A,N/A,N/A
89,8549,N/A,N/A,N/A,N/A
90,28580,N/A,N/A,N/A,N/A
91,62898,N/A,N/A,N/A,N/A
92,80334,N/A,N/A,N/A,N/A
93,82984,N/A,N/A,N/A,N/A
94,42,N/A,N/A,N/A,N/A
95,55594,N/A,N/A,N/A,N/A
96,6308,N/A,N/A,N/A,N/A
97,14280,N/A,N/A,N/A,N/A
98,4185,N/A,N/A,N/A,N/A
99,36956,N/A,N/A,N/A,N/A
100,3433,N/A,N/A,N/A,N/A
101,90812,N/A,N/A,N/A,N/A
102,6306,N/A,N/A,N/A,N/A
103,66956,N/A,N/A,N/A,N/A
104,24764,N/A,N/A,N/A,N/A
105,6096,N/A,N/A,N/A,N/A
106,375980,N/A,N/A,N/A,N/A
107,378922,N/A,N/A,N/A,N/A
108,376089,N/A,N/A,N/A,N/A
109,378729,N/A,N/A,N/A,N/A
110,381701,N/A,N/A,N/A,N/A
111,377512,N/A,N/A,N/A,N/A
112,376526,N/A,N/A,N/A,N/A
113,20138,N/A,N/A,N/A,N/A
114,381813,N/A,N/A,N/A,N/A
115,30893,N/A,N/A,N/A,N/A
116,4016,N/A,N/A,N/A,N/A
117,5691,N/A,N/A,N/A,N/A
118,2391,N/A,N/A,N/A,N/A
119,1407,N/A,N/A,N/A,N/A
120,22128,N/A,N/A,N/A,N/A
121,380340,N/A,N/A,N/A,N/A
122,14763,N/A,N/A,N/A,N/A
123,378944,N/A,N/A,N/A,N/A
124,2809,N/A,N/A,N/A,N/A
125,69390,N/A,N/A,N/A,N/A
126,66765,N/A,N/A,N/A,N/A
127,66764,N/A,N/A,N/A,N/A
128,10589,N/A,N/A,N/A,N/A
129,24578,N/A,N/A,N/A,N/A
130,32005,N/A,N/A,N/A,N/A
131,15507,N/A,N/A,N/A,N/A
132,38707,N/A,N/A,N/A,N/A
133,90377,N/A,N/A,N/A,N/A
134,8379,N/A,N/A,N/A,N/A
135,68301,N/A,N/A,N/A,N/A
136,14614,N/A,N/A,N/A,N/A
137,280626,N/A,N/A,N/A,N/A
138,380235,N/A,N/A,N/A,N/A
139,35818,N/A,N/A,N/A,N/A
140,7747,N/A,N/A,N/A,N/A
141,4151,N/A,N/A,N/A,N/A
142,34142,N/A,N/A,N/A,N/A
143,55269,N/A,N/A,N/A,N/A
144,1296,N/A,N/A,N/A,N/A
145,3563,N/A,N/A,N/A,N/A
146,16116,N/A,N/A,N/A,N/A
147,63076,N/A,N/A,N/A,N/A
148,154670,N/A,N/A,N/A,N/A
149,22099,N/A,N/A,N/A,N/A
150,170561,N/A,N/A,N/A,N/A
151,14912,N/A,N/A,N/A,N/A
152,40921,N/A,N/A,N/A,N/A
153,32902,N/A,N/A,N/A,N/A
154,148626,N/A,N/A,N/A,N/A
155,90683,N/A,N/A,N/A,N/A
156,2745,N/A,N/A,N/A,N/A
157,35640,N/A,N/A,N/A,N/A
