numeric_itemID,original_itemID
0,9654
1,33043
2,32118
3,12352
4,35077
5,36118
6,81766
7,31331
8,32627
9,100747
10,35606
11,32971
12,36246
13,32754
14,10657
15,3147
16,196110
17,5140
18,35472
19,40639
20,59248
21,73816
22,32742
23,9416
24,79626
25,5103
26,69597
27,4168
28,79898
29,14784
30,3680
31,34797
32,13931
33,36156
34,19726
35,58223
36,135099
37,29592
38,151445
39,35142
40,51353
41,23840
42,38873
43,44491
44,14914
45,31579
46,11732
47,123272
48,105612
49,126437
50,9029
51,3633
52,108888
53,117403
54,6542
55,375733
56,46610
57,126308
58,24619
59,13061
60,12787
61,1013
62,121104
63,25583
64,164504
65,2042
66,79130
67,35311
68,3719
69,11338
70,387
71,28249
72,6267
73,32142
74,5450
75,63532
76,35418
77,35378
78,66165
79,59968
80,117825
81,172323
82,86471
83,75155
84,4145
85,4735
86,84043
87,130777
88,201689
89,8549
90,28580
91,62898
92,80334
93,82984
94,42
95,55594
96,6308
97,14280
98,4185
99,36956
100,3433
101,90812
102,6306
103,66956
104,24764
105,6096
106,375980
107,378922
108,376089
109,378729
110,381701
111,377512
112,376526
113,20138
114,381813
115,30893
116,4016
117,5691
118,2391
119,1407
120,22128
121,380340
122,14763
123,378944
124,2809
125,69390
126,66765
127,66764
128,10589
129,24578
130,32005
131,15507
132,38707
133,90377
134,8379
135,68301
136,14614
137,280626
138,380235
139,35818
140,7747
141,4151
142,34142
143,55269
144,1296
145,3563
146,16116
147,63076
148,154670
149,22099
150,170561
151,14912
152,40921
153,32902
154,148626
155,90683
156,2745
157,35640
158,9582
159,30058
160,8732
161,131319
162,30294
163,130835
164,45355
165,135792
166,11297
167,125919
168,88452
169,8735
170,125920
171,43824
172,45236
173,18566
174,294153
175,74731
176,10858
177,54281
178,44612
179,2442
180,90702
181,31500
182,21864
183,11524
184,36700
185,82691
186,36621
187,39471
188,34093
189,14600
190,14234
191,11419
192,132879
193,19942
194,126406
195,106324
196,87471
197,44394
198,11119
199,92881
200,80098
201,169690
202,4787
203,37725
204,30398
205,8250
206,9093
207,48094
208,25460
209,19342
210,126122
211,31055
212,35495
213,17050
214,124947
215,128859
216,23288
217,66682
218,32342
219,84517
220,25781
221,10691
222,33404
223,2818
224,157362
225,14170
226,164206
227,58998
228,70219
229,90603
230,4479
231,171648
232,170416
233,9934
234,127397
235,45002
236,1180
237,36708
238,51535
239,34952
240,682
241,86161
242,10299
243,11989
244,75104
245,33914
246,30455
247,33256
248,30378
249,12233
250,36717
251,48286
252,6365
253,8993
254,47412
255,35099
256,130768
257,57590
258,67779
259,47114
260,68899
261,90105
262,7447
263,18860
264,24522
265,34053
266,46293
267,46225
268,46509
269,57076
270,46644
271,50344
272,66114
273,5560
274,83537
275,7068
276,130874
277,62079
278,82292
279,62762
280,52895
281,8917
282,62123
283,58277
284,4869
285,56006
286,12030
287,90675
288,175818
289,11855
290,32138
291,83484
292,63620
293,79141
294,79178
295,12841
296,3676
297,46805
298,6964
