numeric_categoryID,original_categoryID
0,88
1,1091
2,1121
3,389
4,1096
5,1197
6,965
7,299
8,822
9,1137
10,684
11,227
12,43
13,807
14,842
15,109
16,708
17,402
18,931
19,243
20,678
21,460
22,962
23,868
24,773
25,1160
26,581
27,656
28,420
29,302
30,1181
31,847
32,305
33,1066
34,987
35,483
36,838
37,443
38,834
39,913
40,845
41,591
42,1280
43,150
44,755
45,1287
46,639
47,634
48,619
49,699
50,462
51,318
52,184
53,1022
54,1228
55,735
56,35
57,1274
58,157
59,186
60,526
61,487
62,371
63,905
64,87
65,945
66,792
67,796
68,139
69,92
70,1097
71,690
72,655
73,1093
74,1065
75,41
76,648
77,226
78,1190
79,368
80,1108
81,490
82,291
83,1129
84,675
85,579
86,1107
87,622
88,57
89,587
90,774
91,495
92,237
93,137
94,1244
95,559
96,1010
97,1087
98,1184
99,914
100,350
101,40
102,18
103,151
104,216
105,351
106,143
107,244
108,446
109,532
110,1086
111,458
112,1127
113,1189
114,959
115,276
116,809
117,267
118,499
119,164
120,863
121,896
122,1199
123,254
124,636
125,333
126,214
127,1215
128,1170
129,422
130,642
131,1145
132,428
133,1133
134,926
135,908
136,733
137,1156
138,361
139,766
140,14
141,750
142,55
143,1165
144,803
145,1109
146,586
147,814
148,893
149,461
150,358
151,843
152,393
153,550
154,759
155,1015
156,1281
157,1085
158,528
159,802
160,668
161,1009
162,1090
163,916
164,121
165,1173
166,640
167,547
168,669
169,724
170,780
171,343
172,141
173,682
174,726
175,71
176,961
177,352
178,138
179,1291
180,1048
181,176
182,341
183,85
184,191
185,747
186,1227
187,1180
188,937
189,409
190,68
191,1114
192,673
193,1268
194,1223
195,277
196,689
197,972
198,438
199,444
200,548
201,119
202,1063
203,255
204,621
205,306
206,969
207,794
208,1020
209,471
210,585
211,1275
212,363
213,503
214,349
215,562
216,652
217,170
218,1051
219,688
220,328
221,27
222,1286
223,484
224,315
225,93
226,1205
227,1092
228,207
229,47
230,1101
231,397
232,64
233,248
234,1167
235,1095
236,273
237,627
238,1111
239,45
240,177
241,881
242,198
243,63
244,317
245,1078
246,234
247,219
248,1062
249,242
250,1193
251,853
252,785
253,110
254,1054
255,19
256,400
257,344
258,382
259,1154
260,978
261,575
262,776
263,878
264,1075
265,12
266,308
267,637
268,480
269,1166
270,293
271,693
272,61
273,1049
274,203
275,1031
276,436
277,67
278,703
279,481
280,1027
281,107
282,570
283,152
